source,relation,target
"6,7-dioxo-5H-8-ribitylaminolumazine",approval_status,experimental
Furoyl-Leucine,has_state,solid
Furoyl-Leucine,approval_status,experimental
S-Methylcysteine,has_cas_number,1187-84-4
S-Methylcysteine,has_state,solid
S-Methylcysteine,approval_status,experimental
Dpb-T,has_state,solid
Dpb-T,approval_status,experimental
"N-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",has_state,solid
"N-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",approval_status,experimental
3-(cyclohexylamino)propanesulfonic acid,has_cas_number,1135-40-6
3-(cyclohexylamino)propanesulfonic acid,has_state,solid
3-(cyclohexylamino)propanesulfonic acid,approval_status,experimental
AL7089A,has_cas_number,220402-83-5
AL7089A,has_state,solid
AL7089A,approval_status,experimental
"4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide",has_state,solid
"4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide",approval_status,experimental
"2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine",has_state,solid
"2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine",approval_status,experimental
LY231514 tetra glu,has_state,solid
LY231514 tetra glu,approval_status,experimental
Taxifolin,has_cas_number,480-18-2
Taxifolin,has_state,solid
Taxifolin,approval_status,experimental
"1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine",has_state,solid
"1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine",approval_status,experimental
"3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium",has_state,solid
"3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium",approval_status,experimental
"4,5-Dihydroxy-Tetrahydro-Pyran-2-Carboxylic Acid",has_state,solid
"4,5-Dihydroxy-Tetrahydro-Pyran-2-Carboxylic Acid",approval_status,experimental
2-deoxy-2-fluoro-β-D-galactose,has_state,solid
2-deoxy-2-fluoro-β-D-galactose,approval_status,experimental
5'-O-[(L-methionyl)-sulphamoyl]adenosine,has_state,solid
5'-O-[(L-methionyl)-sulphamoyl]adenosine,approval_status,experimental
Immucillin-G,has_state,solid
Immucillin-G,approval_status,experimental
"1,2-Dihydroxybenzene",has_cas_number,120-80-9
"1,2-Dihydroxybenzene",has_state,solid
"1,2-Dihydroxybenzene",approval_status,experimental
6-hydroxy-D-norleucine,has_state,solid
6-hydroxy-D-norleucine,approval_status,experimental
S-Ethylisothiourea,has_cas_number,2986-20-1
S-Ethylisothiourea,has_state,solid
S-Ethylisothiourea,approval_status,experimental
L-methionine (R)-S-oxide,has_cas_number,62697-73-8
L-methionine (R)-S-oxide,has_state,solid
L-methionine (R)-S-oxide,approval_status,experimental
Glycinamide Ribonucleotide,has_state,solid
Glycinamide Ribonucleotide,approval_status,experimental
Maltotetraose,has_cas_number,34612-38-9
Maltotetraose,has_state,solid
Maltotetraose,approval_status,experimental
4-methylthio-2-oxobutanoic acid,has_cas_number,583-92-6
4-methylthio-2-oxobutanoic acid,has_state,solid
4-methylthio-2-oxobutanoic acid,approval_status,experimental
Laevulinic Acid,has_cas_number,123-76-2
Laevulinic Acid,has_state,solid
Laevulinic Acid,approval_status,experimental
Quinacrine mustard,has_cas_number,64046-79-3
Quinacrine mustard,has_state,solid
Quinacrine mustard,approval_status,experimental
"8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",has_state,solid
"8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",approval_status,experimental
Cyclohexanepropanoic acid,has_cas_number,701-97-3
Cyclohexanepropanoic acid,has_state,solid
Cyclohexanepropanoic acid,approval_status,experimental
4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide,has_state,solid
4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide,approval_status,experimental
7-Deazaguanine,has_cas_number,7355-55-7
7-Deazaguanine,has_state,solid
7-Deazaguanine,approval_status,experimental
Hydrolyzed Cephalothin,has_state,solid
Hydrolyzed Cephalothin,approval_status,experimental
3-Methyl-5-Sulfo-Pyrrolidine-2-Carboxylic Acid,has_state,solid
3-Methyl-5-Sulfo-Pyrrolidine-2-Carboxylic Acid,approval_status,experimental
2-Ethoxyethanol,has_cas_number,110-80-5
2-Ethoxyethanol,has_state,solid
2-Ethoxyethanol,approval_status,experimental
O-Succinylbenzoate,has_cas_number,27415-09-4
O-Succinylbenzoate,has_state,solid
O-Succinylbenzoate,approval_status,experimental
Iodobenzene,has_cas_number,591-50-4
Iodobenzene,has_state,solid
Iodobenzene,approval_status,experimental
"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-Hydroxy-3,7,12,16-Tetramethylheptadeca-1,3,5,7,9,11,13,15-Octaen-1-Yl]-3,5,5-Trimethylcyclohex-3-En-1-Ol",has_state,solid
"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-Hydroxy-3,7,12,16-Tetramethylheptadeca-1,3,5,7,9,11,13,15-Octaen-1-Yl]-3,5,5-Trimethylcyclohex-3-En-1-Ol",approval_status,experimental
Trifluoro-thiamin phosphate,has_state,solid
Trifluoro-thiamin phosphate,approval_status,experimental
Ilomastat,has_cas_number,142880-36-2
Ilomastat,has_state,solid
Ilomastat,approval_status,experimental
2'-Deoxyuridine,has_cas_number,951-78-0
2'-Deoxyuridine,has_state,solid
2'-Deoxyuridine,approval_status,experimental
N-Bromoacetyl-Aminoethyl Phosphate,has_state,solid
N-Bromoacetyl-Aminoethyl Phosphate,approval_status,experimental
SR11254,has_state,solid
SR11254,approval_status,experimental
"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide",has_state,solid
"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide",approval_status,experimental
4-Oxosebacic Acid,has_state,solid
4-Oxosebacic Acid,approval_status,experimental
Platelet Activating Factor,has_cas_number,74389-68-7
Platelet Activating Factor,has_state,solid
Platelet Activating Factor,approval_status,experimental
Orotic acid,has_cas_number,65-86-1
Orotic acid,has_state,solid
Orotic acid,approval_status,investigational
D-glyceraldehyde 3-phosphate,has_cas_number,591-57-1
D-glyceraldehyde 3-phosphate,has_state,solid
D-glyceraldehyde 3-phosphate,approval_status,experimental
O2-Sulfo-Glucuronic Acid,has_state,solid
O2-Sulfo-Glucuronic Acid,approval_status,experimental
Ethyl-Trimethyl-Silane,has_cas_number,3439-38-1
Ethyl-Trimethyl-Silane,has_state,solid
Ethyl-Trimethyl-Silane,approval_status,experimental
Flufenamic acid,has_cas_number,530-78-9
Flufenamic acid,has_state,solid
Flufenamic acid,approval_status,approved
Argininosuccinate,has_state,solid
Argininosuccinate,approval_status,experimental
4-(Acetylamino)-3-Amino Benzoic Acid,has_state,solid
4-(Acetylamino)-3-Amino Benzoic Acid,approval_status,experimental
[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium,has_state,solid
[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium,approval_status,experimental
Dimethylallyl S-Thiolodiphosphate,has_state,solid
Dimethylallyl S-Thiolodiphosphate,approval_status,experimental
S-(2-oxo)pentadecylcoa,has_state,solid
S-(2-oxo)pentadecylcoa,approval_status,experimental
Porphobilinogen,has_cas_number,487-90-1
Porphobilinogen,has_state,solid
Porphobilinogen,approval_status,experimental
"2,6-Dimethyl-7-Octen-2-Ol",has_cas_number,18479-58-8
"2,6-Dimethyl-7-Octen-2-Ol",has_state,solid
"2,6-Dimethyl-7-Octen-2-Ol",approval_status,experimental
7-Keto-8-Aminopelargonic Acid,has_cas_number,4707-58-8
7-Keto-8-Aminopelargonic Acid,has_state,solid
7-Keto-8-Aminopelargonic Acid,approval_status,experimental
"[2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde",has_state,solid
"[2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde",approval_status,experimental
(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide,has_state,solid
(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide,approval_status,experimental
1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea,has_state,solid
1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea,approval_status,experimental
"7,8-dihydro-7,7-dimethyl-6-hydroxypterin",has_state,solid
"7,8-dihydro-7,7-dimethyl-6-hydroxypterin",approval_status,experimental
Benzoylformic Acid,has_cas_number,611-73-4
Benzoylformic Acid,has_state,solid
Benzoylformic Acid,approval_status,experimental
(R)-Mandelic acid,has_cas_number,611-71-2
(R)-Mandelic acid,has_state,solid
(R)-Mandelic acid,approval_status,experimental
Formycin,has_cas_number,6742-12-7
Formycin,has_state,solid
Formycin,approval_status,experimental
5'-S-methyl-5'-thioadenosine,has_cas_number,2457-80-9
5'-S-methyl-5'-thioadenosine,has_state,solid
5'-S-methyl-5'-thioadenosine,approval_status,experimental
2-Phenylamino-Ethanesulfonic Acid,has_state,solid
2-Phenylamino-Ethanesulfonic Acid,approval_status,experimental
Protoporphyrin,has_cas_number,553-12-8
Protoporphyrin,has_state,solid
Protoporphyrin,approval_status,experimental
2-amino-3-(4-amino-1H-indol-3-yl)propanoic acid,has_state,solid
2-amino-3-(4-amino-1H-indol-3-yl)propanoic acid,approval_status,experimental
2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,has_state,solid
2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,approval_status,experimental
CRA-9334,has_state,solid
CRA-9334,approval_status,experimental
2-Aminopropanedioic Acid,has_cas_number,1068-84-4
2-Aminopropanedioic Acid,has_state,solid
2-Aminopropanedioic Acid,approval_status,experimental
"3-{2,6,8-trioxo-9-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",has_state,solid
"3-{2,6,8-trioxo-9-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",approval_status,experimental
Irosustat,has_cas_number,288628-05-7
Irosustat,has_state,solid
Irosustat,approval_status,investigational
"(2S)-2,3-bis{[(3R,7R)-3,7,11,15-tetramethylhexadecyl]oxy}propyl (2R)-2-hydroxy-3-[(hydroxyphosphinato)oxy]propyl phosphate",has_state,solid
"(2S)-2,3-bis{[(3R,7R)-3,7,11,15-tetramethylhexadecyl]oxy}propyl (2R)-2-hydroxy-3-[(hydroxyphosphinato)oxy]propyl phosphate",approval_status,experimental
"(5R,6S,7S,8S)-5-hydroxymethyl-6,7,8-trihydroxy-tetrazolo[1,5-A]piperidine",has_state,solid
"(5R,6S,7S,8S)-5-hydroxymethyl-6,7,8-trihydroxy-tetrazolo[1,5-A]piperidine",approval_status,experimental
"N-[3-(Dimethylamino)Propyl]-2-({[4-({[4-(Formylamino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-5-Isopropyl-1,3-Thiazole-4-Carboxamide",has_state,solid
"N-[3-(Dimethylamino)Propyl]-2-({[4-({[4-(Formylamino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-5-Isopropyl-1,3-Thiazole-4-Carboxamide",approval_status,experimental
Isoamyl alcohol,has_cas_number,123-51-3
Isoamyl alcohol,has_state,solid
Isoamyl alcohol,approval_status,experimental
2-Amino-6-Chloropyrazine,has_state,solid
2-Amino-6-Chloropyrazine,approval_status,experimental
5-Hydroxyamino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,has_state,solid
5-Hydroxyamino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,approval_status,experimental
Arginineamide,has_state,solid
Arginineamide,approval_status,experimental
Calcipotriol,has_cas_number,112965-21-6
Calcipotriol,has_state,solid
Calcipotriol,approval_status,approved
"5,10-Methylene-6-Hydrofolic Acid",has_state,solid
"5,10-Methylene-6-Hydrofolic Acid",approval_status,experimental
Symmetric dimethylarginine,has_cas_number,30344-00-4
Symmetric dimethylarginine,has_state,solid
Symmetric dimethylarginine,approval_status,experimental
"(5S)-5-Iododihydro-2,4(1H,3H)-pyrimidinedione",has_state,solid
"(5S)-5-Iododihydro-2,4(1H,3H)-pyrimidinedione",approval_status,experimental
Prostaglandin B2,has_cas_number,13367-85-6
Prostaglandin B2,has_state,solid
Prostaglandin B2,approval_status,experimental
"4,5-Dehydro-D-Glucuronic Acid",has_state,solid
"4,5-Dehydro-D-Glucuronic Acid",approval_status,experimental
Palmitoyl-Linoleoyl Phosphatidylcholine,has_state,solid
Palmitoyl-Linoleoyl Phosphatidylcholine,approval_status,experimental
N-(1-carboxy-3-phenylpropyl)phenylalanyl-alpha-asparagine,has_state,solid
N-(1-carboxy-3-phenylpropyl)phenylalanyl-alpha-asparagine,approval_status,experimental
"4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium",has_state,solid
"4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium",approval_status,experimental
5-monophosphate-9-beta-D-ribofuranosyl xanthine,has_state,solid
5-monophosphate-9-beta-D-ribofuranosyl xanthine,approval_status,experimental
"3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium",has_state,solid
"3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium",approval_status,experimental
Methyl Methylsulfinylmethyl Sulfide,has_cas_number,33577-16-1
Methyl Methylsulfinylmethyl Sulfide,has_state,solid
Methyl Methylsulfinylmethyl Sulfide,approval_status,experimental
beta-D-galactose 6-phosphate,has_state,solid
beta-D-galactose 6-phosphate,approval_status,experimental
"Ethyl (4R)-4-{[(2R,5S)-2-(4-fluorobenzyl)-6-methyl-5-{[(5-methyl-1,2-oxazol-3-yl)carbonyl]amino}-4-oxoheptanoyl]amino}-5-[(3S)-2-oxo-3-pyrrolidinyl]pentanoate",has_state,solid
"Ethyl (4R)-4-{[(2R,5S)-2-(4-fluorobenzyl)-6-methyl-5-{[(5-methyl-1,2-oxazol-3-yl)carbonyl]amino}-4-oxoheptanoyl]amino}-5-[(3S)-2-oxo-3-pyrrolidinyl]pentanoate",approval_status,experimental
Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate,has_state,solid
Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate,approval_status,experimental
Cyclic GMP,has_cas_number,7665-99-8
Cyclic GMP,has_state,solid
Cyclic GMP,approval_status,experimental
"1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid",has_state,solid
"1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid",approval_status,experimental
Alpha-D-Galactose-1-Phosphate,has_cas_number,2255-14-3
Alpha-D-Galactose-1-Phosphate,has_state,solid
Alpha-D-Galactose-1-Phosphate,approval_status,experimental
2-deoxy-2-fluoro-alpha-D-mannosyl fluoride,has_state,solid
2-deoxy-2-fluoro-alpha-D-mannosyl fluoride,approval_status,experimental
"5,6-dihydroxy-NADP",has_state,solid
"5,6-dihydroxy-NADP",approval_status,experimental
N-beta-D-glucopyranosylacetamide,has_cas_number,6983-36-4
N-beta-D-glucopyranosylacetamide,has_state,solid
N-beta-D-glucopyranosylacetamide,approval_status,experimental
"5-(3-Amino-4,4-Dihyroxy-Butylsulfanylmethyl)-Tetrahydro-Furan-2,3,4-Triol",has_state,solid
"5-(3-Amino-4,4-Dihyroxy-Butylsulfanylmethyl)-Tetrahydro-Furan-2,3,4-Triol",approval_status,experimental
Heparin Disaccharide I-S,has_state,solid
Heparin Disaccharide I-S,approval_status,experimental
EM-1745,has_state,solid
EM-1745,approval_status,experimental
5-Iodo-2'-Deoxyuridine-5'-Monophosphate,has_state,solid
5-Iodo-2'-Deoxyuridine-5'-Monophosphate,approval_status,experimental
Isopropyl alcohol,has_cas_number,67-63-0
Isopropyl alcohol,has_state,solid
Isopropyl alcohol,approval_status,approved
1-Hydroxyamine-2-Isobutylmalonic Acid,has_state,solid
1-Hydroxyamine-2-Isobutylmalonic Acid,approval_status,experimental
Triethylene glycol,has_cas_number,112-27-6
Triethylene glycol,has_state,solid
Triethylene glycol,approval_status,experimental
2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid,has_state,solid
2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid,approval_status,experimental
Carbenoxolone,has_cas_number,5697-56-3
Carbenoxolone,has_state,solid
Carbenoxolone,approval_status,experimental
"(2s)-2-[(5-Benzofuran-2-Yl-Thiophen-2-Ylmethyl)-(2,4-Dichloro-Benzoyl)-Amino]-3-Phenyl-Propionic Acid",has_state,solid
"(2s)-2-[(5-Benzofuran-2-Yl-Thiophen-2-Ylmethyl)-(2,4-Dichloro-Benzoyl)-Amino]-3-Phenyl-Propionic Acid",approval_status,experimental
Flavin-N7 protonated-adenine dinucleotide,has_state,solid
Flavin-N7 protonated-adenine dinucleotide,approval_status,experimental
Deoxyuridine-5'-Triphosphate,has_state,solid
Deoxyuridine-5'-Triphosphate,approval_status,experimental
(R)-2-Hydroxy-3-Sulfopropanoic Acid,has_state,solid
(R)-2-Hydroxy-3-Sulfopropanoic Acid,approval_status,experimental
2-Aminothiazoline,has_cas_number,1779-81-3
2-Aminothiazoline,has_state,solid
2-Aminothiazoline,approval_status,experimental
RU83876,has_state,solid
RU83876,approval_status,experimental
S-(D-Carboxybutyl)-L-Homocysteine,has_state,solid
S-(D-Carboxybutyl)-L-Homocysteine,approval_status,experimental
NADPH,has_cas_number,53-57-6
NADPH,has_state,solid
NADPH,approval_status,experimental
Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin,has_state,solid
Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin,approval_status,experimental
N-Acetyl-Serine,has_cas_number,16354-58-8
N-Acetyl-Serine,has_state,solid
N-Acetyl-Serine,approval_status,experimental
"Mdl 101,146",has_cas_number,149859-17-6
"Mdl 101,146",has_state,solid
"Mdl 101,146",approval_status,experimental
2-Methoxyestradiol,has_cas_number,362-07-2
2-Methoxyestradiol,has_state,solid
2-Methoxyestradiol,approval_status,investigational
"3,6,9,12,15-Pentaoxaheptadecane",has_cas_number,4353-28-0
"3,6,9,12,15-Pentaoxaheptadecane",has_state,solid
"3,6,9,12,15-Pentaoxaheptadecane",approval_status,experimental
Selenocysteine,has_cas_number,10236-58-5
Selenocysteine,has_state,solid
Selenocysteine,approval_status,experimental
3'-O-N-Octanoyl-a-D-Glucopyranosyl-B-D-Fructofuranoside,has_state,solid
3'-O-N-Octanoyl-a-D-Glucopyranosyl-B-D-Fructofuranoside,approval_status,experimental
2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid,has_state,solid
2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid,approval_status,experimental
Monofluorophosphate ion,has_cas_number,15181-43-8
Monofluorophosphate ion,has_state,solid
Monofluorophosphate ion,approval_status,experimental
Nicotinamide-adenine-dinucleotide-5-hydroxy-4-oxonorvaline,has_state,solid
Nicotinamide-adenine-dinucleotide-5-hydroxy-4-oxonorvaline,approval_status,experimental
"N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide",has_state,solid
"N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide",approval_status,experimental
3-(Benzyloxy)Pyridin-2-Amine,has_state,solid
3-(Benzyloxy)Pyridin-2-Amine,approval_status,experimental
Heparin Disaccharide Iii-S,has_state,solid
Heparin Disaccharide Iii-S,approval_status,experimental
4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine,has_state,solid
4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine,approval_status,experimental
Adenosine-5'-Rp-Alpha-Thio-Triphosphate,has_state,solid
Adenosine-5'-Rp-Alpha-Thio-Triphosphate,approval_status,experimental
4-Imidazolmethylene-5-Imidazolone Chromophore,has_state,solid
4-Imidazolmethylene-5-Imidazolone Chromophore,approval_status,experimental
Methyl-O3-(Alpha-D-Mannose)-Alpha-D-Mannose,has_state,solid
Methyl-O3-(Alpha-D-Mannose)-Alpha-D-Mannose,approval_status,experimental
LY374571,has_state,solid
LY374571,approval_status,experimental
"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine",has_state,solid
"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine",approval_status,experimental
Bis-Napthyl Beta-Ketophosphonic Acid,has_state,solid
Bis-Napthyl Beta-Ketophosphonic Acid,approval_status,experimental
S-Methyl Thiocysteine Group,has_state,solid
S-Methyl Thiocysteine Group,approval_status,experimental
Aminobenzoic acid,has_cas_number,150-13-0
Aminobenzoic acid,has_state,solid
Aminobenzoic acid,approval_status,approved
2'-Monophosphoadenosine-5'-Diphosphate,has_state,solid
2'-Monophosphoadenosine-5'-Diphosphate,approval_status,experimental
2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid,has_state,solid
2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid,approval_status,experimental
"1,10-Phenanthroline",has_cas_number,66-71-7
"1,10-Phenanthroline",has_state,solid
"1,10-Phenanthroline",approval_status,experimental
CRA_10762,has_state,solid
CRA_10762,approval_status,experimental
(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,has_state,solid
(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,approval_status,experimental
N-Acetyl-L-Citrulline,has_state,solid
N-Acetyl-L-Citrulline,approval_status,experimental
"3-Aza-2,3-Dihydrogeranyl Diphosphate",has_state,solid
"3-Aza-2,3-Dihydrogeranyl Diphosphate",approval_status,experimental
Nz-(1-Carboxyethyl)-Lysine,has_state,solid
Nz-(1-Carboxyethyl)-Lysine,approval_status,experimental
"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",has_cas_number,7365-44-8
"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",has_state,solid
"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",approval_status,experimental
"2,5-Dimethylpyrimidin-4-Amine",has_state,solid
"2,5-Dimethylpyrimidin-4-Amine",approval_status,experimental
Adenosine monotungstate,has_state,solid
Adenosine monotungstate,approval_status,experimental
Xylose-Derived Imidazole,has_state,solid
Xylose-Derived Imidazole,approval_status,experimental
Myricetin,has_cas_number,529-44-2
Myricetin,has_state,solid
Myricetin,approval_status,experimental
"D-gluconhydroximo-1,5-lactam",has_state,solid
"D-gluconhydroximo-1,5-lactam",approval_status,experimental
Guanine,has_cas_number,73-40-5
Guanine,has_state,solid
Guanine,approval_status,experimental
MMI-175,has_state,solid
MMI-175,approval_status,experimental
Beta-D-Glucose,has_cas_number,492-61-5
Beta-D-Glucose,has_state,solid
Beta-D-Glucose,approval_status,experimental
Deoxyinosine,has_cas_number,890-38-0
Deoxyinosine,has_state,solid
Deoxyinosine,approval_status,experimental
nor-NOHA,has_cas_number,189302-40-7
nor-NOHA,has_state,solid
nor-NOHA,approval_status,investigational
Namn,has_state,solid
Namn,approval_status,experimental
Tolrestat,has_cas_number,82964-04-3
Tolrestat,has_state,solid
Tolrestat,approval_status,withdrawn
(E)-2-Fluoro-P-Hydroxycinnamate,has_state,solid
(E)-2-Fluoro-P-Hydroxycinnamate,approval_status,experimental
D-threo-neopterin,has_cas_number,10162-32-0
D-threo-neopterin,has_state,solid
D-threo-neopterin,approval_status,experimental
Leucine Phosphonic Acid,has_state,solid
Leucine Phosphonic Acid,approval_status,experimental
"Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine",has_state,solid
"Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine",approval_status,experimental
5-Bromo-N[2-(Dimethylamino)Ethyl]-9-Aminoacridine-4-Carboxamide,has_state,solid
5-Bromo-N[2-(Dimethylamino)Ethyl]-9-Aminoacridine-4-Carboxamide,approval_status,experimental
"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One",has_state,solid
"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One",approval_status,experimental
"D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate",has_state,solid
"D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate",approval_status,experimental
Oxiranpseudoglucose,has_state,solid
Oxiranpseudoglucose,approval_status,experimental
"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol",has_state,solid
"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol",approval_status,experimental
Methylethylamine,has_cas_number,624-78-2
Methylethylamine,has_state,solid
Methylethylamine,approval_status,experimental
O-(N-acetyl-alpha-D-galactosaminyl)-L-serine,has_cas_number,67262-86-6
O-(N-acetyl-alpha-D-galactosaminyl)-L-serine,has_state,solid
O-(N-acetyl-alpha-D-galactosaminyl)-L-serine,approval_status,experimental
